Y | first: 0 | last: 0 | a
X | first: 0 | last: 4 | hello
Y | first: 0 | last: 1 | aa
X | first: 0 | last: 5 | python
Y | first: 1 | last: 1 | aba
Y | first: 1 | last: 2 | abba
X | first: 0 | last: 5 | abcdef
Y | first: 1 | last: 1 | aaa
X | first: 0 | last: 9 | palindrome
Y | first: 1 | last: 1 | bbb
Y | first: 1 | last: 1 | ccc
Y | first: 1 | last: 1 | 121
X | first: 0 | last: 9 | testing123
Y | first: 1 | last: 2 | 1221
X | first: 0 | last: 5 | openai
Y | first: 1 | last: 2 | 1331
X | first: 0 | last: 6 | chatgpt
Y | first: 3 | last: 3 | racecar
X | first: 0 | last: 8 | algorithm
Y | first: 2 | last: 2 | level
X | first: 0 | last: 13 | datastructures
Y | first: 2 | last: 2 | madam
X | first: 0 | last: 8 | iteration
Y | first: 1 | last: 2 | noon
X | first: 0 | last: 8 | recursion
Y | first: 2 | last: 2 | civic
X | first: 0 | last: 11 | conditionals
Y | first: 2 | last: 2 | radar
X | first: 0 | last: 7 | variable
Y | first: 2 | last: 2 | refer
X | first: 0 | last: 11 | functioncall
Y | first: 1 | last: 2 | deed
X | first: 0 | last: 10 | stringindex
Y | first: 1 | last: 1 | wow
X | first: 0 | last: 8 | fileinput
Y | first: 1 | last: 1 | pop
X | first: 0 | last: 14 | readlineexample
Y | first: 1 | last: 1 | mom
X | first: 0 | last: 13 | notapalindrome
Y | first: 1 | last: 1 | dad
X | first: 0 | last: 14 | almostpalindrom
Y | first: 1 | last: 2 | peep
X | first: 0 | last: 8 | asymmetry
Y | first: 2 | last: 2 | stats
Y | first: 2 | last: 2 | tenet
Y | first: 2 | last: 2 | kayak
Y | first: 2 | last: 2 | rotor
Y | first: 3 | last: 3 | repaper
Y | first: 2 | last: 3 | redder
Y | first: 4 | last: 4 | malayalam
Y | first: 2 | last: 3 | abaaba
Y | first: 3 | last: 4 | abbaabba
Y | first: 2 | last: 2 | abcba
Y | first: 4 | last: 4 | abcdedcba
Y | first: 1 | last: 1 | a1a
Y | first: 1 | last: 1 | 1a1
Y | first: 2 | last: 3 | 11aa11
Y | first: 2 | last: 3 | xyzzyx
Y | first: 0 | last: 1 | zz
Y | first: 1 | last: 1 | 101
Y | first: 1 | last: 1 | 202
Y | first: 1 | last: 1 | 303
Y | first: 1 | last: 1 | 444
Y | first: 1 | last: 1 | 555
